"","x"
"1001","61414"
"1002","60526"
"1003","83401"
"1004","52312"
"1005","61016"
"1006","60551"
"1007","52032"
"1008","52211"
"1009","66763"
"1010","01245"
"1011","49008"
"1012","01985"
"1013","01236"
"1014","02108"
"1015","50673"
"1016","01264"
"1017","80910"
"1018","80542"
"1019","80906"
"1020","80211"
"1021","80861"
"1022","06798"
"1023","61911"
"1024","62627"
"1025","67871"
"1026","40744"
"1027","66550"
"1028","67738"
"1029","67646"
"1030","49316"
"1031","48350"
"1032","48741"
"1033","49080"
"1034","06447"
"1035","06417"
"1036","06517"
"1037","42431"
"1038","06260"
"1039","06455"
"1040","06461"
"1041","62440"
"1042","60964"
"1043","62518"
"1044","62413"
"1045","66503"
"1046","67354"
"1047","67657"
"1048","41311"
"1049","66095"
"1050","49650"
"1051","48070"
"1052","48025"
"1053","49616"
"1054","48722"
"1055","49769"
"1056","06063"
"1057","06105"
"1058","80652"
"1059","41146"
"1060","32607"
"1061","19805"
"1062","60146"
"1063","60490"
"1064","62854"
"1065","61367"
"1066","62933"
"1067","42553"
"1068","40175"
"1069","93458"
"1070","41729"
"1071","95134"
"1072","92309"
"1073","33126"
"1074","34737"
"1075","33709"
"1076","34669"
"1077","19931"
"1078","61078"
"1079","62275"
"1080","61748"
"1081","42061"
"1082","40299"
"1083","40461"
"1084","95124"
"1085","95340"
"1086","34481"
"1087","32810"
"1088","06095"
"1089","06477"
"1090","62694"
"1091","62063"
"1092","71018"
"1093","67146"
"1094","67349"
"1095","41226"
"1096","71658"
"1097","72926"
"1098","32065"
"1099","32024"
"1100","32955"
"1101","61041"
"1102","62217"
"1103","70084"
"1104","61616"
"1105","47224"
"1106","41352"
"1107","41562"
"1108","72004"
"1109","72373"
"1110","33610"
"1111","33406"
"1112","32547"
"1113","32503"
"1114","81621"
"1115","62812"
"1116","71203"
"1117","33909"
"1118","47125"
"1119","47436"
"1120","46550"
"1121","40813"
"1122","42528"
"1123","72141"
"1124","94530"
"1125","95231"
"1126","91406"
"1127","04928"
"1128","32202"
"1129","30277"
"1130","46160"
"1131","46920"
"1132","40014"
"1133","42634"
"1134","16362"
"1135","15106"
"1136","19040"
"1137","15951"
"1138","21040"
