,zipcode,county,state,latitude,longitude
27269,65789,Howell County,MO,36.8739965,-91.9294681
27270,43754,Monroe County,OH,39.793072,-81.22985299999999
27271,56425,Crow Wing County,MN,46.3395312,-94.2971695
27272,02770,Plymouth County,MA,41.76014079999999,-70.83577919999999
27273,07718,Monmouth County,NJ,40.4174102,-74.0828839
27274,20695,Charles County,MD,38.5925004,-76.94702199999999
27275,80401,Jefferson County,CO,39.7158773,-105.2311827
27276,68626,Butler County,NE,41.1695214,-96.9853474
27277,61283,Bureau County,IL,41.5610908,-89.81303559999999
27278,68118,Douglas County,NE,41.26123339999999,-96.1686077
27279,55411,Hennepin County,MN,44.99448719999999,-93.2983975
27280,68835,Howard County,NE,41.33665999999999,-98.6380598
27281,61039,Stephenson County,IL,42.2152227,-89.4553088
27282,22102,Fairfax County,VA,38.9586422,-77.22901929999999
27283,17072,Cumberland County,PA,40.2338476,-77.0812691
27284,30204,Lamar County,GA,33.0531651,-84.1224036
27285,26283,Randolph County,WV,39.0604586,-79.80726109999999
27286,30067,Cobb County,GA,33.9290987,-84.46976629999999
27287,50226,Polk County,IA,41.799919,-93.7232005
27288,57371,Hand County,SD,44.4394594,-99.2342196
27289,12851,Essex County,NY,,
27290,22940,Albemarle County,VA,38.1681667,-78.57744079999999
27291,33445,Palm Beach County,FL,26.4647478,-80.109357
27292,15317,Washington County,PA,40.2767073,-80.1651854
27293,99029,Lincoln County,WA,47.7159213,-117.8604187
27294,62952,Union County,IL,37.4022621,-89.341667
27295,30259,Coweta County,GA,33.26060630000001,-84.75244819999999
27296,10550,Westchester County,NY,40.9087956,-73.83308439999999
27297,45164,Clinton County,OH,39.5558829,-83.7916015
27298,90731,Los Angeles County,CA,33.7241323,-118.2643567
27299,97345,Linn County,OR,44.4016958,-122.1722144
27300,39062,Simpson County,MS,31.98604839999999,-89.9015764
27301,62809,Wayne County,IL,38.27904240000001,-88.37734619999999
27302,45341,Clark County,OH,39.8779301,-84.0061661
27303,45368,Clark County,OH,39.8479022,-83.63484299999999
27304,57344,Douglas County,SD,,
27305,56678,Hubbard County,MN,47.3541211,-95.129048
27306,23011,New Kent County,VA,37.4564007,-76.79135579999999
27307,43111,Hocking County,OH,39.49813049999999,-82.2427108
27308,40070,Henry County,KY,38.4831252,-85.2411958
27309,61049,Ogle County,IL,42.0442224,-89.0083726
27310,51521,Pottawattamie County,IA,41.4579402,-95.33116520000002
27311,51631,Page County,IA,40.5974113,-95.0078451
27312,24622,Tazewell County,VA,37.215441,-81.78963809999999
27313,43337,Marion County,OH,40.6902602,-83.2398943
27314,95391,San Joaquin County,CA,37.7582199,-121.548418
27315,45350,Darke County,OH,40.3258816,-84.57331479999999
27316,71019,Red River Parish,LA,31.9955781,-93.2986106
27317,92867,Orange County,CA,33.8186385,-117.8282121
27318,75939,Polk County,TX,31.0373536,-94.7691586
27319,02556,Barnstable County,MA,41.6423507,-70.6276279
27320,01770,Middlesex County,MA,42.2433966,-71.3705616
27321,66858,Marion County,KS,38.4734842,-96.8565427
27322,06483,New Haven County,CT,41.3813413,-73.0995528
27323,60471,Cook County,IL,41.48419030000001,-87.7418842
27324,01431,Middlesex County,MA,42.6792111,-71.82155449999999
27325,70514,St. Mary Parish,LA,29.8668489,-91.5353893
27326,50006,Hardin County,IA,42.5203014,-93.3993751
