,ClimateZone,Case,PUE_quantiles,WUE_quantiles,CoolingSystem
85,4A,1,"[1.08732857, 1.1196893749999999, 1.1528106999999999, 1.183115575, 1.21577742]","[0.25039177834987636, 0.45061396062374115, 0.6046359539031982, 0.7724570631980896, 1.0344201207160946]",Airside economizer& adiabatic cooling (water-cooled chiller)
86,4A,10,"[1.8833415850000002, 1.970221825, 2.06096695, 2.20529215, 2.3526211999999997]","[0.02506888415664426, 0.04198031965643162, 0.0636461898684501, 0.08587878569960591, 0.10370904579758641]",Direct expansion system
87,4A,11,"[1.65701629, 1.7692934, 1.8632012, 2.0032068499999998, 2.1886945799999995]","[0.02370057348161927, 0.039694448001682675, 0.0603191722184419, 0.08064484596252436, 0.09785755239427088]",Direct expansion system
88,4A,12,"[1.678066215, 1.7785811999999999, 1.8530069, 1.9429547, 2.097475035]","[0.01747299171984192, 0.02723412821069355, 0.04116523452103135, 0.05392506439238785, 0.07190351299941532]",Airside economizer (direct expansion system)
89,4A,13,"[1.41575748, 1.500798475, 1.56840885, 1.6442103000000001, 1.7609974849999996]","[0.01178012671880418, 0.0175817417912185, 0.0236045811325311, 0.03259645309299222, 0.04879703689366568]",Airside economizer (direct expansion system)
90,4A,17,"[1.46742942, 1.54587345, 1.61593705, 1.69165105, 1.8231194949999996]","[0.023602303676307113, 0.039770845323801, 0.0601767525076866, 0.08071989938616746, 0.09789533354341977]",Dry cooler (air-cooled chiller)
91,4A,3,"[1.3378215400000002, 1.398876925, 1.4587818000000001, 1.51877185, 1.579413805]","[0.9236043810844422, 1.1514578759670258, 1.3204562664031982, 1.5133049190044403, 1.8163956463336948]",Airside economizer& (water-cooled chiller)
92,4A,4,"[1.271003815, 1.325973675, 1.37751075, 1.4335095500000001, 1.4999244649999999]","[2.1288636088371278, 2.3189767599105835, 2.49974012374878, 2.6710676550865173, 2.91197189092636]",Waterside economizer& (water-cooled chiller)
93,4A,5,"[1.42166143, 1.47979535, 1.53394055, 1.5905963749999998, 1.654770265]","[2.530104100704193, 2.725583493709564, 2.922244071960449, 3.1091018319129944, 3.39246586561203]",Water-cooled chiller
94,4A,6,"[1.445719505, 1.5259417, 1.5933681000000002, 1.67230335, 1.8153300249999997]","[0.00906397122889754, 0.01665132772177455, 0.0254951901733875, 0.03607968520373105, 0.053949362784624054]",Airside economizer& (air-cooled chiller)
95,4A,7,"[1.6415503450000002, 1.7430752, 1.8438975, 1.9787503750000002, 2.2180799449999995]","[0.023545673768967375, 0.0396795999258756, 0.0598965864628553, 0.08073222823441023, 0.09808587431907644]",Air-cooled chiller
96,4A,8,"[1.59614214, 1.6638777249999999, 1.71731445, 1.777018025, 1.8675741349999997]","[2.7860429167747496, 3.0415828824043274, 3.256800055503845, 3.4669880270957947, 3.7900445342063906]",Water-cooled chiller
97,4A,9,"[1.8212954, 1.912495325, 1.99776415, 2.1588830750000003, 2.43845378]","[0.02515005962923165, 0.042078664526343276, 0.0634990185499191, 0.08584224991500372, 0.10342914350330826]",Air-cooled chiller
98,4B,0,"[1.099508675, 1.1300367249999999, 1.156815, 1.1824846276943206, 1.22682673]","[0.00928279650397593, 0.0177028947509825, 0.02397898770868775, 0.03280901536345475, 0.04600040856748817]",Airside economizer& adiabatic cooling (air-cooled chiller)
99,4B,1,"[1.06911274, 1.095660125, 1.12389705, 1.1577372008228304, 1.1939572150000002]","[0.004681581119075397, 0.14068564400076863, 0.25062230229377747, 0.3623724430799484, 0.6093856066465377]",Airside economizer& adiabatic cooling (water-cooled chiller)
100,4B,10,"[1.88500441, 1.9795737, 2.0629618, 2.200161375, 2.3483285599999997]","[0.02531096320599313, 0.04201028030365705, 0.0636557266116142, 0.08590699732303615, 0.10419254451990126]",Direct expansion system
101,4B,11,"[1.6543261900000001, 1.7709044, 1.870941328633118, 2.02782175, 2.2030338452041627]","[0.023757507465779735, 0.0398792093619704, 0.06114664487540715, 0.08079057000577447, 0.0982301522046327]",Direct expansion system
102,4B,12,"[1.75467018, 1.8398437749999998, 1.9127388, 1.9940997958183289, 2.2245299899999997]","[0.02047390965744851, 0.030488752759993024, 0.0451330449432134, 0.05655044689774508, 0.07451309375464912]",Airside economizer (direct expansion system)
103,4B,13,"[1.3911198550000001, 1.485262675, 1.56138555, 1.6411878, 1.7752908649999999]","[0.012822583131492135, 0.017659615259617525, 0.0241434350609779, 0.033962191082537146, 0.048847562633454696]",Airside economizer (direct expansion system)
104,4B,17,"[1.4540789822402191, 1.53626515, 1.61143735, 1.690464, 1.8082446849999998]","[0.023382427357137147, 0.040178765542805125, 0.0604138690978288, 0.08075847849249833, 0.09812177270650856]",Dry cooler (air-cooled chiller)
105,4B,3,"[1.32490371, 1.377972825, 1.434922614945221, 1.493829375, 1.563791205]","[0.8318851798772812, 1.0578506290912628, 1.2416608333587646, 1.4706077575683594, 1.7725796401500702]",Airside economizer& (water-cooled chiller)
106,4B,4,"[1.2536942500000001, 1.31423075, 1.3671241325851442, 1.420827, 1.479997155]","[2.1170185685157774, 2.3174708485603333, 2.486949324607849, 2.643046200275421, 2.9072735786437987]",Waterside economizer& (water-cooled chiller)
107,4B,5,"[1.3937025650000001, 1.4617517755157472, 1.5115153764320373, 1.5643676219902038, 1.62868667]","[2.4776464343070983, 2.665183365345001, 2.858951210975647, 3.0712881088256836, 3.3244137048721316]",Water-cooled chiller
108,4B,6,"[1.4115015422064208, 1.5147473, 1.5879173999999998, 1.6751739702190398, 1.8451701149723816]","[0.006104503013193566, 0.01407212484627955, 0.0225720219314098, 0.03305282723158595, 0.04978025127202268]",Airside economizer& (air-cooled chiller)
109,4B,7,"[1.64180408, 1.745525425, 1.846265397167206, 1.985702625, 2.19817043]","[0.02358236201107501, 0.04017347097396845, 0.060262076556682545, 0.08071291260421275, 0.09821659326553342]",Air-cooled chiller
110,4B,8,"[1.577703235, 1.633580125, 1.6837076, 1.73764565, 1.8138673349999999]","[2.7309851527214044, 2.940793216228485, 3.1553125381469727, 3.3649545311927795, 3.693593084812164]",Water-cooled chiller
111,4B,9,"[1.8201903719654082, 1.9176108105976104, 2.0101546, 2.1657336249999997, 2.437361985]","[0.024853875301778287, 0.042281441390514325, 0.06350353732705115, 0.08574057742953295, 0.1036738187074661]",Air-cooled chiller
